,p_org_id,PersonNm,NAME,EIN,ntee_cat,TitleTxt,IndividualTrusteeOrDirectorInd,OfficerInd
435,48247,ANDREA PIEDIGROSSI,CORTLAND REGIONAL SPORTS COUNCIL INC,201960550,(S) Community Improvement & Capacity Building,BOARD MEMBER,X,na
43,36518,ANDREA ROBINSON-KURETICH,AUXILIARY SERVICES CORPORATION OF SUNY CORTLAND,150548524,(B) Education,TREASURER,X,X
482,14649,ANDREW ADSIT,CORTLANDVILLE FIRE DEPARTMENT INCORPORATED,115227037,"(M) Public Safety, Disaster Preparedness & Relief",VICE-PRESIDENT,na,na
666,56342,ANDREW M STRONGIN,NATIONAL ACADEMY OF ARBITRATORS,237126791,no_NTEE,DIRECTOR (PART YEAR),X,na
481,14649,ANDREW NIVER,CORTLANDVILLE FIRE DEPARTMENT INCORPORATED,115227037,"(M) Public Safety, Disaster Preparedness & Relief",PRESIDENT,na,na
680,70345,ANDREW STRONGIN,NATIONAL ACADEMY OF ARBITRATORS RESEARCH & EDUCATION FOUNDATION,382613043,no_NTEE,DIRECTOR,X,na
743,45816,ANGELA HERRERA-CANFIELD,UNITED WAY FOR CORTLAND COUNTY INC,166058903,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Director,X,na
815,36391,ANGELA LOH,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,Trustee-PRES,X,X
338,83650,ANNE ZARTARIAN,CORTLAND COUNTY SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,510244203,(D) Animal-Related,BOARD,X,na
48,36518,ANNEKA BOWLER,AUXILIARY SERVICES CORPORATION OF SUNY CORTLAND,150548524,(B) Education,DIRECTOR,X,na
206,38618,ANNEKA BOWLER,CORTLAND COLLEGE STUDENT ASSOCIATION,160998593,(B) Education,PRESIDENT,X,X
12,18383,ANNETTE BENSON,1890 HOUSE MUSEUM AND CENTER FOR THE ARTS,132951986,"(A) Arts, Culture & Humanities",TREASURER,X,X
468,105037,ANTHONY CONTENTO,CORTLAND REUSE INC,853825876,(J) Employment,BOARD MEMBER,na,na
343,83650,ANTHONY DANNIBALE,CORTLAND COUNTY SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,510244203,(D) Animal-Related,BOARD,X,na
171,38505,ANTHONY MOON,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
297,38653,APRIL DENNISON,CORTLAND COUNTY COMMUNITY ACTION PROGRAM INC,161004653,(P) Human Services,BOARD MEMBER,X,na
14,43730,Alexandra Mikowski,ACCESS TO INDEPENDENCE OF CORTLAND COUNTY INC,161557965,(B) Education,Executive Director,na,X
594,36771,Andria L Smith,INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS,150623052,no_NTEE,Trustee,X,X
96,43002,Angela Cavanaugh,CIVIL SERVICE EMPLOYEES ASSOCIATION,161513551,no_NTEE,President,na,na
611,38243,BARBARA ACKLEY,J M MURRAY CENTER INC,160919050,(J) Employment,EXECUTIVE VP,na,na
568,42349,BARBARA CLOSSON,HOSPICE FOUNDATION OF CORTLAND COUNTY INC,161468911,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",President,X,X
798,36391,BARBARA HENZA,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,BOARD MEMBER,X,na
67,36004,BARBARA TOMMEY,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,150298495,no_NTEE,PRESIDENT,na,X
172,38505,BARRY J THORNTON II,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
11,115772,BARRY PRIMARY PTO TREASURER,BARRY PRIMARY PTO INC,922673272,(B) Education,ICO,,
106,59588,BARRY SANDS,KEYSTONE JUNIOR RODEO ASSOCIATION,251883648,(N) Recreation & Sports,ICO,,
156,43781,BECKY ROE TREAS,WESTERN NEW YORK OFFROAD ASSOC,161560250,(N) Recreation & Sports,ICO,,
527,35995,BEN BROOKS,FREE & ACCEPTED MASONS OF NEW YORK,150279245,no_NTEE,SECRETARY,na,X
628,58051,BEN HAMMOND,LIME HOLLOW NATURE CENTER INC,237339667,(C) Environment,BOARD MEMBER,X,na
275,35991,BEN OCHS,CORTLAND COUNTY CHAMBER OF COMMERCE INC,150278960,no_NTEE,VICE CHAIR,X,X
330,36546,BEN WELLS,CORTLAND COUNTY HISTORICAL SOCIETY -INC-,150555683,"(A) Arts, Culture & Humanities",Trustee,X,na
681,70345,BETTY WIDGEON,NATIONAL ACADEMY OF ARBITRATORS RESEARCH & EDUCATION FOUNDATION,382613043,no_NTEE,DIRECTOR,X,na
599,38243,BILLI GIZZI,J M MURRAY CENTER INC,160919050,(J) Employment,DIRECTOR,X,na
292,38653,BILLIE MACNABB,CORTLAND COUNTY COMMUNITY ACTION PROGRAM INC,161004653,(P) Human Services,BOARD VICE-PRESIDENT,X,X
736,42886,BILLIE MACNABB,THE GREAT CORTLAND PUMPKINFEST INC,161506254,(N) Recreation & Sports,SECRETARY,X,X
469,105037,BOB BONAGURA,CORTLAND REUSE INC,853825876,(J) Employment,BOARD MEMBER,na,na
429,48247,BOB HAIGHT,CORTLAND REGIONAL SPORTS COUNCIL INC,201960550,(S) Community Improvement & Capacity Building,BOARD MEMBER,X,na
636,58051,BOB MARTIN,LIME HOLLOW NATURE CENTER INC,237339667,(C) Environment,BOARD MEMBER,X,na
374,36601,BONNIE HAINES,CORTLAND FREE LIBRARY INC,150569362,(B) Education,Trustee,X,na
805,36391,BONNY RENNER,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,BOARD MEMBER,X,na
103,68742,BONNY RENNER,CORTLAND AREA COMMUNITIES THAT CARE COALITION,342064367,(P) Human Services,Director,X,na
418,51769,BRADLEY TOTMAN,CORTLAND MEMORIAL FOUNDATION IND C O CORTLAND MEMORIAL HOSPITAL INC,222230692,(E) Health Care,TREASURER - DIRECTOR,X,X
546,36287,BRANDON JOHNSON,GUTHRIE CORTLAND MEDICAL CENTER,150532079,(E) Health Care,SR. DIR LONG TERM CARE,na,na
151,50048,BRENDA ALLEN,UNITED STATES BOWLING CONGRESS INC,204916565,(N) Recreation & Sports,ICO,,
149,40572,BRENDA CHAFFEE,CORTLAND COLLEGE CHILDRENS CENTER,161292297,(P) Human Services,TREASURER,X,X
263,42239,BRENDAN O BRYAN,CORTLAND COUNTY BUSINESS DEVELOPMENT CORPORATION,161461027,no_NTEE,EXECUTIVE DIRECTOR,na,X
40,29419,BRIAN SPIKES,AUTOMOTIVE LIFT INSTITUTE INC,136162018,no_NTEE,Director,X,na
644,60788,BRITTNEY GALLUTZ,LITTLE LEAGUE BASEBALL INC,261684182,no_NTEE,SECRETARY,na,na
494,51988,BROOKE PRESTON,DISABLED VETS OF CORTLAND COUNTY,222315953,(W) Public & Societal Benefit,SECRETARY,na,X
135,59403,BRUCE D KING,ROYAL ARCH MASONS OF NEW YORK GRAND CHAPTER,237591356,no_NTEE,ICO,,
379,36601,BRYAN RICCARDI,CORTLAND FREE LIBRARY INC,150569362,(B) Education,Trustee,X,na
18,43730,Barbara Morris,ACCESS TO INDEPENDENCE OF CORTLAND COUNTY INC,161557965,(B) Education,Board Member,X,na
480,35994,Brian Bosch,CORTLAND RURAL CEMETERY,150279170,no_NTEE,Vice President,X,X
592,36771,Brian K Heisner,INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS,150623052,no_NTEE,Sergeant at Arms,na,X
98,50490,C-O PAT LANG,HELPING HANDS CARING HEART INC,205564238,(O) Youth Development,ICO,,
29,52992,C/O CORTLAND COUNTY AAA,COALITION OF CENTER COUNCIL OF CORTLAND COUNTY INCORPORATED,222543830,no_NTEE,ICO,,
68,85601,C/O CORTLAND ENLARGED SCHOOL DIST,CORTLAND PUBLIC EDUCATION FOUNDATION INCORPORATED,571215619,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",ICO,,
423,51769,CAITLIN MCKILLOP,CORTLAND MEMORIAL FOUNDATION IND C O CORTLAND MEMORIAL HOSPITAL INC,222230692,(E) Health Care,DIRECTOR,X,na
342,83650,CALLYN PYHTILA,CORTLAND COUNTY SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,510244203,(D) Animal-Related,SECRETARY,X,X
649,60788,CAMERON WOODARD,LITTLE LEAGUE BASEBALL INC,261684182,no_NTEE,YOUTH BUREAU REPRESENTATIVE,na,na
811,36391,CAMILLA MORGAN,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,President,X,X
728,42886,CANDICE ROZANSKY,THE GREAT CORTLAND PUMPKINFEST INC,161506254,(N) Recreation & Sports,BD MEMBER,X,na
173,38505,CANDY ALTMAN,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,SECRETARY,X,X
203,51353,CANDY ALTMAN,CORTLAND COLLEGE FOUNDATIONPROPERTIES INC,208746984,(S) Community Improvement & Capacity Building,SECRETARY,X,X
282,39681,CAREY PETERS,CORTLAND COUNTY CHILD DEVELOPMENT DAY CARE PROGRAM INC,161167492,(P) Human Services,Director,X,na
126,36212,CARL GAMBITTA,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,DIRECTOR,X,na
718,39411,CARLA BISHOP,STATEWIDE COUNTRY MUSIC ASSOCIATION INC,161132390,"(A) Arts, Culture & Humanities",BYLAWS ADVOCATE,X,na
701,44509,CARLY DOUGHERTY,SEVEN VALLEYS HEALTH COALITION INC,161600893,(E) Health Care,SECRETARY/TREASURER,X,na
311,42170,CARLY DOUGHTERY,CORTLAND COUNTY CONVENTION & VISITORS BUREAU INC,161454737,(S) Community Improvement & Capacity Building,BOARD MEMBER,X,na
489,57460,CAROL FITZGERALD,CULTURAL COUNCIL OF CORTLAND COUNTY INC,237269008,no_NTEE,EXECUTIVE DI,na,na
813,36391,CAROL JANIK,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,Trustee,X,na
809,36391,CAROL VAN DER KARR,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,BOARD MEMBER,X,na
81,949,CAROL WHITMARSH,DISABLED AMERICAN VETERANS AUXILIARY INC,30469943,no_NTEE,ICO,,
734,42886,CARRIE KNIGHT,THE GREAT CORTLAND PUMPKINFEST INC,161506254,(N) Recreation & Sports,TREASURER,X,X
385,39395,CARRIE KNIGHT,CORTLAND HOUSING ASSISTANCE COUNCIL INC,161130177,(L) Housing & Shelter,MEMBER,X,na
150,40572,CASEY AVERY,CORTLAND COLLEGE CHILDRENS CENTER,161292297,(P) Human Services,SECRETARY,X,X
788,36391,CATHY BISCHOFF,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,BOARD MEMBER,X,na
110,68742,CATHY BISHOFF,CORTLAND AREA COMMUNITIES THAT CARE COALITION,342064367,(P) Human Services,Director,X,na
500,42213,CATHY KENNEY,FAMILY CONNECTION,161458794,(P) Human Services,Treasurer,X,X
526,35995,CHARLES A DELLOW,FREE & ACCEPTED MASONS OF NEW YORK,150279245,no_NTEE,TRUSTEE,X,na
328,36546,CHARLES JERMY III,CORTLAND COUNTY HISTORICAL SOCIETY -INC-,150555683,"(A) Arts, Culture & Humanities",Trustee,X,na
333,36546,CHARLES JERMY JR,CORTLAND COUNTY HISTORICAL SOCIETY -INC-,150555683,"(A) Arts, Culture & Humanities",President,X,X
235,35992,CHARLES SCRIMALE,CORTLAND COUNTRY CLUB INC,150279005,no_NTEE,Treasurer,X,X
640,58051,CHELSEA GUY,LIME HOLLOW NATURE CENTER INC,237339667,(C) Environment,BOARD MEMBER,X,na
337,83650,CHERYL HICKS,CORTLAND COUNTY SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,510244203,(D) Animal-Related,TREASURER,X,X
573,42349,CHRIS CECCONI,HOSPICE FOUNDATION OF CORTLAND COUNTY INC,161468911,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Director,X,na
362,49695,CHRIS HOTCHKISS,CORTLAND DOWNTOWN PARTNERSHIP INC,204296071,"(A) Arts, Culture & Humanities",SECRETARY,X,X
726,42886,CHRIS MERKLEY,THE GREAT CORTLAND PUMPKINFEST INC,161506254,(N) Recreation & Sports,BD MEMBER,X,na
772,36375,CHRIS RYAN,YOUNG MENS CHRISTIAN ASSOCIATION CORTLAND,150533570,(P) Human Services,BOARD MEMBER (PART YEAR),X,na
742,45816,CHRISTELLA YONTA,UNITED WAY FOR CORTLAND COUNTY INC,166058903,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Executive Dir.,X,X
702,44509,CHRISTELLA YONTA,SEVEN VALLEYS HEALTH COALITION INC,161600893,(E) Health Care,CHAIR/MEMBER/VICE CHAIR,X,X
504,42213,CHRISTINE BARON,FAMILY CONNECTION,161458794,(P) Human Services,BOARD MEMEBER,X,na
288,39681,CHRISTINE FERRARO,CORTLAND COUNTY CHILD DEVELOPMENT DAY CARE PROGRAM INC,161167492,(P) Human Services,Chairman,X,X
441,38651,CHRISTINE GREGORY,CORTLAND REPERTORY THEATRE INC,161004610,no_NTEE,BOARD MEMBER,X,na
101,86457,CHRISTINE L WIDDALL,HONOR SOCIETY OF PHI KAPPA PHI,621783876,(B) Education,ICO,,
164,38505,CHRISTOPHER GRADY,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
100,44075,CHRISTOPHER GUAY,HOMER SCHOOL ATHLETIC BOOSTER CLUB,161576899,(N) Recreation & Sports,ICO,,
670,56342,CHRISTOPHER J ALBERTYN,NATIONAL ACADEMY OF ARBITRATORS,237126791,no_NTEE,DIRECTOR,X,na
151,40572,CHRISTOPHER KURETICH,CORTLAND COLLEGE CHILDRENS CENTER,161292297,(P) Human Services,MEMBER,X,na
169,38505,CHRISTOPHER ORTEGA,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
699,114354,CHRISTOPHER PAULSEN,SEAHORSE FOUNDATION INC,920495583,(S) Community Improvement & Capacity Building,Treasurer,na,na
529,35995,CHRISTOPHER R JENNEY,FREE & ACCEPTED MASONS OF NEW YORK,150279245,no_NTEE,MASTER,na,X
152,40572,CHRISTOPHER VALENTI,CORTLAND COLLEGE CHILDRENS CENTER,161292297,(P) Human Services,MEMBER,X,na
773,36375,CHUCK FEISZLI,YOUNG MENS CHRISTIAN ASSOCIATION CORTLAND,150533570,(P) Human Services,BOARD MEMBER (PART YEAR),X,na
252,42239,CLINT BROOKS,CORTLAND COUNTY BUSINESS DEVELOPMENT CORPORATION,161461027,no_NTEE,SECRETARY,X,X
77,110354,CLINT MORSE,CROWN CITY WRESTLING CLUB,880739674,(N) Recreation & Sports,ICO,,
417,51769,CLINTON BROOKS,CORTLAND MEMORIAL FOUNDATION IND C O CORTLAND MEMORIAL HOSPITAL INC,222230692,(E) Health Care,SECRETARY - DIRECTOR,X,X
528,35995,CLINTON BROOKS,FREE & ACCEPTED MASONS OF NEW YORK,150279245,no_NTEE,TREASURER,na,X
134,35993,CLUB PRESIDENT,ROTARY INTERNATIONAL,150279165,no_NTEE,ICO,,
750,45816,COLBY REAGAN,UNITED WAY FOR CORTLAND COUNTY INC,166058903,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Director,X,na
134,36212,COLLEEN FITZPATRICK NAPORA,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,DIRECTOR,X,na
145,36212,COREY MORRIS,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,DIRECTOR,X,na
61,78531,CORTLAND ENLARGED CITY SCHOOL,CORTLAND JR SR HIGH SCHOOL MUSIC BOOSTERS CLUB,471113444,(B) Education,ICO,,
407,85551,CORTNEY LOWIE,CORTLAND MAIN STREET MUSIC SERIES,571176369,"(A) Arts, Culture & Humanities",SECRETARY,na,na
484,14649,COURTNEY METCALF,CORTLANDVILLE FIRE DEPARTMENT INCORPORATED,115227037,"(M) Public Safety, Disaster Preparedness & Relief",SECRETARY,na,na
703,44509,CRAIG LITTLE,SEVEN VALLEYS HEALTH COALITION INC,161600893,(E) Health Care,VICE CHAIR (PART YEAR),X,X
363,49695,CYNTHIA GUY,CORTLAND DOWNTOWN PARTNERSHIP INC,204296071,"(A) Arts, Culture & Humanities",DIRECTOR,X,na
24,43730,Christina Carden,ACCESS TO INDEPENDENCE OF CORTLAND COUNTY INC,161557965,(B) Education,Board Secretary,X,X
16,43730,Christina Taranto,ACCESS TO INDEPENDENCE OF CORTLAND COUNTY INC,161557965,(B) Education,Board Member,X,na
616,59588,Christopher Darrup,KEYSTONE JUNIOR RODEO ASSOCIATION,251883648,(N) Recreation & Sports,Vice President,na,na
591,36771,Christopher Fish,INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS,150623052,no_NTEE,Vice President,na,X
22,43730,Conni Bentley,ACCESS TO INDEPENDENCE OF CORTLAND COUNTY INC,161557965,(B) Education,Board Member,X,na
614,108324,DALE DAVIS,J M MURRAY FOUNDATION INC,872094810,(P) Human Services,SERETARY/TREASURER,X,X
105,108324,DALE E DAVIS,J M MURRAY FOUNDATION INC,872094810,(P) Human Services,ICO,,
646,60788,DAN CONDON,LITTLE LEAGUE BASEBALL INC,261684182,no_NTEE,SAFETY OFFICER,na,na
11,18383,DAN HORN,1890 HOUSE MUSEUM AND CENTER FOR THE ARTS,132951986,"(A) Arts, Culture & Humanities",BD MEMBER,X,X
682,70345,DAN NIELSEN,NATIONAL ACADEMY OF ARBITRATORS RESEARCH & EDUCATION FOUNDATION,382613043,no_NTEE,SECRETARY-TREASURER ELECT,X,X
56,36518,DANIEL CONDON,AUXILIARY SERVICES CORPORATION OF SUNY CORTLAND,150548524,(B) Education,ASSISTANT DIRECTOR,na,na
658,56342,DANIEL J NIELSEN,NATIONAL ACADEMY OF ARBITRATORS,237126791,no_NTEE,SECRETARY/TREASURER ELECT,X,X
130,36212,DANIEL MARTUSCELLO,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,DIRECTOR,X,na
490,98817,DANIEL MCNEIL,DAN AND ROSE MCNEIL FOUNDATION INC,833255297,"(A) Arts, Culture & Humanities",DIRECTOR,na,na
163,38505,DANIEL SCHEFFER,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
497,42213,DANIEL STEVENS,FAMILY CONNECTION,161458794,(P) Human Services,Executive Dir.,na,X
112,36212,DANIEL WALKER,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,PRESIDENT,X,X
271,35991,DANILLE BROWN,CORTLAND COUNTY CHAMBER OF COMMERCE INC,150278960,no_NTEE,DIRECTOR,X,na
268,35991,DANILLE BROWN,CORTLAND COUNTY CHAMBER OF COMMERCE INC,150278960,no_NTEE,DIRECTOR,X,na
459,38651,DANN GAILOR,CORTLAND REPERTORY THEATRE INC,161004610,no_NTEE,BOARD MEMBER,X,na
562,36287,DARLENE LATTEN,GUTHRIE CORTLAND MEDICAL CENTER,150532079,(E) Health Care,DIRECTOR,X,na
556,36287,DARSHAN PATEL MD,GUTHRIE CORTLAND MEDICAL CENTER,150532079,(E) Health Care,DIRECTOR,X,na
413,51769,DARSHAN PATEL MD,CORTLAND MEMORIAL FOUNDATION IND C O CORTLAND MEMORIAL HOSPITAL INC,222230692,(E) Health Care,DIRECTOR,X,na
431,48247,DAVE BASILE,CORTLAND REGIONAL SPORTS COUNCIL INC,201960550,(S) Community Improvement & Capacity Building,BOARD MEMBER,X,na
635,58051,DAVID BARCLAY,LIME HOLLOW NATURE CENTER INC,237339667,(C) Environment,BOARD MEMBER,X,na
488,57460,DAVID BEALE,CULTURAL COUNCIL OF CORTLAND COUNTY INC,237269008,no_NTEE,TREASURER,na,na
103,36771,DAVID BLOCK,INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS,150623052,no_NTEE,ICO,,
357,54486,DAVID BORDWELL,CORTLAND COUNTY YOUTH SOCCER ASSOCIATION INC,223320358,no_NTEE,President,na,na
626,58051,DAVID BOSWORTH,LIME HOLLOW NATURE CENTER INC,237339667,(C) Environment,BOARD MEMBER,X,na
145,99560,DAVID C ROLLINSON,THE CHAPEL,834307973,no_NTEE,ICO,,
174,38505,DAVID KRONMAN,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
491,98817,DAVID MCNEIL,DAN AND ROSE MCNEIL FOUNDATION INC,833255297,"(A) Arts, Culture & Humanities",TREASURER,na,na
781,36375,DAVID PEPPEL,YOUNG MENS CHRISTIAN ASSOCIATION CORTLAND,150533570,(P) Human Services,BOARD MEMBER/SECRETARY,X,X
770,76383,DAVID PEPPEL,YMCA OF CORTLAND PROPERTIES INC,463376307,(P) Human Services,SECRETARY,na,na
202,51353,DAVID TURYBURY,CORTLAND COLLEGE FOUNDATIONPROPERTIES INC,208746984,(S) Community Improvement & Capacity Building,VICE CHAIR,X,X
175,38505,DAVID TURYBURY,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,VICE CHAIR,X,X
678,56342,DAVID W STANTON,NATIONAL ACADEMY OF ARBITRATORS,237126791,no_NTEE,DIRECTOR,X,na
683,70345,DAVID WEINBERG,NATIONAL ACADEMY OF ARBITRATORS RESEARCH & EDUCATION FOUNDATION,382613043,no_NTEE,DIRECTOR,X,na
555,36287,DAVID WIRTZ MD,GUTHRIE CORTLAND MEDICAL CENTER,150532079,(E) Health Care,DIRECTOR,X,na
144,48657,DBA CORTLAND CHAPTER,SUNY CORTLAND,202627486,no_NTEE,ICO,,
227,47554,DEAN SMITH,CORTLAND COMMUNITY SERVICE CLUB INC,200809584,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",President,na,na
807,36391,DEB WINES,YOUNG WOMENS CHRISTIAN ASSOCIATION,150536617,(P) Human Services,BOARD MEMBER,X,na
32,68742,DEBORAH KING,CORTLAND AREA COMMUNITIES THAT CARE COALITION,342064367,(P) Human Services,ICO,,
332,36546,DEIRDRE JOYCE,CORTLAND COUNTY HISTORICAL SOCIETY -INC-,150555683,"(A) Arts, Culture & Humanities",Secretary,X,X
176,38505,DIANA ABDOO LAWSON,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
639,58051,DIANE HIGGINS,LIME HOLLOW NATURE CENTER INC,237339667,(C) Environment,Treasurer,X,X
142,36212,DIANE VECCHIO,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,DIRECTOR,X,na
104,68742,DIANE WHEATON,CORTLAND AREA COMMUNITIES THAT CARE COALITION,342064367,(P) Human Services,Treasurer,X,X
449,38651,DIANNE GALUTZ,CORTLAND REPERTORY THEATRE INC,161004610,no_NTEE,GUILD CO-PRES,X,X
571,42349,DIANNE HIGGINS,HOSPICE FOUNDATION OF CORTLAND COUNTY INC,161468911,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Treasurer,X,X
230,47554,DICK PENOYER,CORTLAND COMMUNITY SERVICE CLUB INC,200809584,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Vice President,na,na
386,39395,DJ VanGorder,CORTLAND HOUSING ASSISTANCE COUNCIL INC,161130177,(L) Housing & Shelter,Vice President,X,X
259,42239,DON RICHARDS,CORTLAND COUNTY BUSINESS DEVELOPMENT CORPORATION,161461027,no_NTEE,DIRECTOR,X,na
520,38462,DONALD BOWERSOX,FAMILY COUNSELING SERVICES OF CORTLAND COUNTY INC,160975006,(F) Mental Health & Crisis Intervention,BOARD MEMBER,X,na
177,38505,DONALD C ARMSTRONG,CORTLAND COLLEGE FOUNDATION INC,160979814,no_NTEE,DIRECTOR,X,na
228,47554,DONALD REED,CORTLAND COMMUNITY SERVICE CLUB INC,200809584,"(T) Philanthropy, Voluntarism & Grantmaking Foundations",Treasurer,na,na
25,40784,DONNA M RAYMOND,CIVIL SERVICE EMPLOYEES ASSOCIATION,161320069,no_NTEE,ICO,,
127,36212,DONTE HEWLETT,CORTLAND COLLEGE ALUMNI ASS INC,150508031,no_NTEE,DIRECTOR,X,na
